City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,phek,25.6667,94.5,282.44,98,42,0.6,IN,1700496744
286,celestun,20.8667,-90.4,300.94,62,1,4.16,MX,1700496745
287,bulolo,-7.2,146.65,293.65,93,82,0.73,PG,1700496745
288,ust-nera,64.5667,143.2,239.32,98,65,0.45,RU,1700496745
289,planaltina,-15.4528,-47.6142,301.45,51,100,3.24,BR,1700496745
290,qarqaraly,49.4058,75.4742,267.25,40,3,1.43,KZ,1700496746
291,peterhead,57.5058,-1.7981,282.37,94,100,13.46,GB,1700496499
292,luena,-11.7833,19.9167,299.3,45,96,1.37,AO,1700496746
293,rongelap,11.1635,166.8941,301.21,75,24,9.52,MH,1700496747
294,tralee,52.2704,-9.7026,283.29,87,75,7.2,IE,1700496747
295,luchegorsk,46.4764,134.2569,259.98,99,85,1.1,RU,1700496747
296,petukhovo,55.0692,67.9019,264.6,93,100,1.96,RU,1700496747
297,carauari,-4.8828,-66.8958,311.03,35,77,1.84,BR,1700496748
298,cascais,38.6979,-9.4215,292.79,80,20,7.72,PT,1700496748
299,saint-philippe,-21.3585,55.7679,297.92,85,63,4.66,RE,1700496545
300,la passe,45.5549,-0.8967,286.28,68,76,7.42,FR,1700496748
301,kabarnet,0.4919,35.743,290.83,77,99,1.89,KE,1700496749
302,puerto san jose,13.9256,-90.8244,300.51,67,1,0.68,GT,1700496749
303,happy valley-goose bay,53.3168,-60.3315,268.24,67,12,5.19,CA,1700496749
304,balkashino,52.5167,68.7667,265.92,90,38,1.72,KZ,1700496749
305,pachino,36.7186,15.0907,291.85,74,14,7.31,IT,1700496750
306,sumberpucung,-8.1586,112.4829,295.95,96,39,0.6,ID,1700496750
307,deqen,29.9618,90.7188,276.18,27,2,2.8,CN,1700496750
308,khandyga,62.6667,135.6,254.21,89,100,1.47,RU,1700496750
309,ancud,-41.8697,-73.8203,283.34,82,66,9.11,CL,1700496751
310,flekkefjord,58.2971,6.6607,276.45,83,87,3.78,NO,1700496751
311,camara de lobos,32.6333,-16.9667,297.04,82,40,3.09,PT,1700496712
312,stewartville,43.8555,-92.4885,278.4,77,100,4.63,US,1700496752
313,monte argentario,42.4345,11.1195,290.6,80,100,3.94,IT,1700496752
314,novyy urgal,51.0736,132.5642,263.81,94,100,0.94,RU,1700496752
315,atar,20.5169,-13.0499,307.58,10,79,4.93,MR,1700496752
316,kapuskasing,49.4169,-82.4331,267.15,79,42,0.51,CA,1700496753
317,tindouf,27.6711,-8.1474,299.1,16,34,5.33,DZ,1700496736
318,chibougamau,49.9168,-74.3659,263.94,79,100,5.14,CA,1700496653
319,tasova,40.7597,36.3225,280.83,62,59,1.91,TR,1700496753
320,karratha,-20.7377,116.8463,302.61,48,38,6.39,AU,1700496754
321,hadibu,12.65,54.0333,300.21,76,39,3.87,YE,1700496754
322,monze,-16.2833,27.4833,305.24,24,56,1.5,ZM,1700496708
323,merowe,18.4833,31.8167,297.81,27,18,5.17,SD,1700496754
324,tukrah,32.5341,20.5791,292.68,63,34,4.27,LY,1700496755
325,mugia,43.1041,-9.2179,288.66,68,59,8.26,ES,1700496755
326,port elizabeth,-33.918,25.5701,296.1,81,100,3.13,ZA,1700496755
327,kavaratti,10.5669,72.642,301.91,67,44,0.69,IN,1700496756
328,remire-montjoly,4.9167,-52.2667,305.17,62,0,5.14,GF,1700496756
329,nanao,37.05,136.9667,280.27,72,4,0.84,JP,1700496756
330,amursk,50.2261,136.8994,266.47,88,100,7.71,RU,1700496757
331,puerto deseado,-47.7503,-65.8938,288.84,21,2,14.7,AR,1700496757
332,padang,-0.9492,100.3543,299.18,93,98,2.71,ID,1700496486
333,santa elena de uairen,4.6167,-61.1333,301.09,57,40,1.69,VE,1700496757
334,san miguel,13.4833,-88.1833,302.02,63,30,0.62,SV,1700496758
335,mulanje,-16.0316,35.5,302.75,45,39,4.03,MW,1700496758
336,usinsk,65.9939,57.5281,263.19,96,100,4.02,RU,1700496758
337,akjoujt,19.6969,-14.4164,308.86,10,95,6.27,MR,1700496759
338,spas-demensk,54.4122,34.0226,267.65,79,80,3.04,RU,1700496759
339,papao,-17.75,-149.55,297.97,98,100,12.12,PF,1700496759
340,nedumangad,8.6,77.0,302.75,74,40,0.51,IN,1700496759
341,biryusinsk,55.9634,97.8235,266.32,79,100,4.68,RU,1700496760
342,nova olimpia,-14.7972,-57.2881,311.33,32,100,2.38,BR,1700496760
343,udachny,66.4167,112.4,240.62,82,100,2.61,RU,1700496760
344,maturin,9.75,-63.1767,304.88,56,94,2.25,VE,1700496760
345,dukhan,25.4297,50.7858,298.42,64,92,5.18,QA,1700496761
346,behbahan,30.5959,50.2417,289.58,95,100,4.39,IR,1700496761
347,kharp,66.8014,65.8081,254.11,98,34,2.0,RU,1700496761
348,zhanga buqtyrma,49.6295,83.5248,267.15,81,70,1.99,KZ,1700496762
349,cabo san lucas,22.8909,-109.9124,299.55,63,0,1.03,MX,1700496762
350,san patricio,28.017,-97.5169,298.63,75,56,5.51,US,1700496762
351,livingston,55.9029,-3.5226,284.38,80,75,3.09,GB,1700496750
352,dryden,49.7833,-92.7503,275.31,75,20,5.14,CA,1700496763
353,fort st. john,56.2499,-120.8529,267.72,73,93,1.62,CA,1700496763
354,acarau,-2.8856,-40.12,304.38,57,40,7.32,BR,1700496763
355,guane,22.2025,-84.0875,299.84,53,0,3.95,CU,1700496763
356,svetlyy,54.675,20.1347,274.18,83,69,5.44,RU,1700496764
357,taltal,-25.4,-70.4833,292.35,66,50,2.13,CL,1700496764
358,saint-francois,46.4154,3.9054,284.84,78,100,2.57,FR,1700496764
359,afif,23.9065,42.9172,295.9,42,8,3.43,SA,1700496764
360,al kharijah,25.4514,30.5464,291.48,36,0,4.39,EG,1700496765
361,mersing,2.4312,103.8405,298.69,91,91,2.85,MY,1700496765
